codigo_producto;codebar1;Codigo_2;Codigo_3;Codigo_4;Codigo_5;Codigo_6;Codigo_7;Codigo_8;Codigo_9;Codigo_10;Codigo_11;Codigo_12;Codigo_13;Codigo_14;Codigo_15;Codigo_16
1020300382;7795345123370;;;;;;;;;;;;;;;
1038602602;7795326006616;7798021440662;;;;;;;;;;;;;;
1082000001;7798241900045;;;;;;;;;;;;;;;
1082200028;612197152006;;;;;;;;;;;;;;;
1003000051;7798311370082;;;;;;;;;;;;;;;
1039700313;7798021299130;;;;;;;;;;;;;;;
1055700047;7798088129081;;;;;;;;;;;;;;;
1007400050;7795361519515;;;;;;;;;;;;;;;
1007400055;7795361519508;;;;;;;;;;;;;;;
1072600032;7798006870613;;;;;;;;;;;;;;;
1072600033;7798006870606;;;;;;;;;;;;;;;
1072600034;7798006870590;;;;;;;;;;;;;;;
1072600035;7798006870583;;;;;;;;;;;;;;;
1057700301;7798095330043;;;;;;;;;;;;;;;
1019200191;7798084683464;;;;;;;;;;;;;;;
3011458107;7792281910279;;;;;;;;;;;;;;;
1017900211;5415062373811;;;;;;;;;;;;;;;
1017900226;5415062115848;;;;;;;;;;;;;;;
2072200001;7798159090739;;;;;;;;;;;;;;;
1020302102;7795345002811;;;;;;;;;;;;;;;
1020302104;7795345006116;;;;;;;;;;;;;;;
1020302105;7795345003719;;;;;;;;;;;;;;;
1020302106;7795345006130;;;;;;;;;;;;;;;
1020302501;7795345001968;;;;;;;;;;;;;;;
1020300123;7795345013541;;;;;;;;;;;;;;;
1020300124;7795345013558;;;;;;;;;;;;;;;
1020300125;7795345013565;;;;;;;;;;;;;;;
1012500095;7798129414510;7795380001275;;;;;;;;;;;;;;
1012500096;7798129414503;7795380001268;;;;;;;;;;;;;;
1012500097;7798129414527;7795380001282;;;;;;;;;;;;;;
1012500098;7798129414534;7795380001299;;;;;;;;;;;;;;
1012500116;7795380001664;;;;;;;;;;;;;;;
1021100093;7792069477017;;;;;;;;;;;;;;;
1021100094;7792069477024;;;;;;;;;;;;;;;
2088600000;781159759215;;;;;;;;;;;;;;;
2088600001;781159759222;;;;;;;;;;;;;;;
2088600002;781159759239;;;;;;;;;;;;;;;
3011424984;1000000023527;7798140841609;7798140841647;;;;;;;;;;;;;
3011430264;1000000023527;9911;;;;;;;;;;;;;;
2020200004;4015630004706;;;;;;;;;;;;;;;
2082600001;4015630064175;;;;;;;;;;;;;;;
2082600002;4015630064076;4015630064519;;;;;;;;;;;;;;
2082600003;4015630064243;;;;;;;;;;;;;;;
2020200025;4015630058501;;;;;;;;;;;;;;;
2020200026;4015630058518;;;;;;;;;;;;;;;
2020200027;4015630063024;;;;;;;;;;;;;;;
2082600004;4015630065585;;;;;;;;;;;;;;;
2082600005;4015630066834;;;;;;;;;;;;;;;
2082600006;4015630066841;;;;;;;;;;;;;;;
2082600007;4015630066544;;;;;;;;;;;;;;;
2082600008;4015630083282;4015630067572;;;;;;;;;;;;;;
2020200009;4015630981960;4015630980505;;;;;;;;;;;;;;
2020200010;4015630981977;4015630980512;;;;;;;;;;;;;;
2020200028;4015630982264;;;;;;;;;;;;;;;
2082600000;4015630006618;;;;;;;;;;;;;;;
2020213701;4015630018277;;;;;;;;;;;;;;;
2020213702;4015630006779;;;;;;;;;;;;;;;
2020202201;4015630018239;4015630002795;;;;;;;;;;;;;;
3011458899;7790070265333;;;;;;;;;;;;;;;
3011458900;7790070265340;;;;;;;;;;;;;;;
3011458901;7790070265357;;;;;;;;;;;;;;;
3011400519;7790580160807;17790580160804;;;;;;;;;;;;;;
3011458896;7790070231864;;;;;;;;;;;;;;;
3011458897;7790070231871;;;;;;;;;;;;;;;
3011458898;7790070265098;;;;;;;;;;;;;;;
3011458902;7790070012050;;;;;;;;;;;;;;;
3011458903;7790060234868;;;;;;;;;;;;;;;
3011458904;7790070231598;;;;;;;;;;;;;;;
2021200025;7797811099493;;;;;;;;;;;;;;;
3011414281;7798052372345;7798021991171;;;;;;;;;;;;;;
3011414280;7798052371782;7798021991188;7798052377173;;;;;;;;;;;;;
2021200007;7797811099462;;;;;;;;;;;;;;;
1046800008;7798006921240;;;;;;;;;;;;;;;
3011458709;7798260050196;;;;;;;;;;;;;;;
3011463086;7798260050233;;;;;;;;;;;;;;;
3011414521;7798021992086;;;;;;;;;;;;;;;
3011458789;7896025800113;;;;;;;;;;;;;;;
3011460513;7792180001641;;;;;;;;;;;;;;;
3011460514;7792180001665;;;;;;;;;;;;;;;
3011460562;7790272001005;;;;;;;;;;;;;;;
3011460756;7790272001029;;;;;;;;;;;;;;;
2021200022;7797811099448;;;;;;;;;;;;;;;
2083600009;7798265480240;;;;;;;;;;;;;;;
2021200021;7797811099431;;;;;;;;;;;;;;;
1074500038;8712400686877;5016533647174;;;;;;;;;;;;;;
3011458788;7798040890622;;;;;;;;;;;;;;;
3011458710;7798260052268;;;;;;;;;;;;;;;
1066200048;7798119960263;;;;;;;;;;;;;;;
1066200079;7798119960591;;;;;;;;;;;;;;;
1030303201;7798143170126;;;;;;;;;;;;;;;
1030303202;7798143170133;;;;;;;;;;;;;;;
2030300018;7798023941181;;;;;;;;;;;;;;;
3011463027;9917763027;;;;;;;;;;;;;;;
1021203601;7797811099400;;;;;;;;;;;;;;;
1021203602;7797811099417;;;;;;;;;;;;;;;
3011424916;7798021991263;;;;;;;;;;;;;;;
1021200045;7797811099905;;;;;;;;;;;;;;;
1021200043;7797811099486;;;;;;;;;;;;;;;
3011459770;7798134782161;;;;;;;;;;;;;;;
3011459444;7798090730299;80012001;;;;;;;;;;;;;;
3011459445;7791728246667;7791728234848;;;;;;;;;;;;;;
3011459446;7791728246629;7791728234381;;;;;;;;;;;;;;
3011459447;7791728246544;7791728243239;;;;;;;;;;;;;;
3011459448;7791728246582;7791728234367;;;;;;;;;;;;;;
3011414522;7798021991270;;;;;;;;;;;;;;;
3011462572;7791728241204;;;;;;;;;;;;;;;
3011458777;7790918243882;;;;;;;;;;;;;;;
3011458656;7798139011785;;;;;;;;;;;;;;;
3011458657;7798139011730;;;;;;;;;;;;;;;
3011458658;7798139011747;;;;;;;;;;;;;;;
3011458664;7798139010238;;;;;;;;;;;;;;;
3011461426;7797574001146;;;;;;;;;;;;;;;
3011458663;7798139010115;;;;;;;;;;;;;;;
3011462534;7790127000306;;;;;;;;;;;;;;;
3011462535;7790127000337;;;;;;;;;;;;;;;
3011461417;7790127000252;;;;;;;;;;;;;;;
3011461418;7790127000184;7790127001184;;;;;;;;;;;;;;
3011461419;7790127000085;;;;;;;;;;;;;;;
3011461420;7790127733723;;;;;;;;;;;;;;;
3011461421;2215;;;;;;;;;;;;;;;
3011461422;2214;;;;;;;;;;;;;;;
3011461427;7797574000569;;;;;;;;;;;;;;;
3011458831;8410086973075;;;;;;;;;;;;;;;
3011458832;8410086973471;;;;;;;;;;;;;;;
3011458833;8410086973372;;;;;;;;;;;;;;;
3011458834;8410086973174;;;;;;;;;;;;;;;
3011458835;8410086973679;;;;;;;;;;;;;;;
3011458836;8410086973570;;;;;;;;;;;;;;;
3011458837;8410086974218;;;;;;;;;;;;;;;
3011461010;7798180210090;;;;;;;;;;;;;;;
3011462812;7563;;;;;;;;;;;;;;;
1012500084;7798129416804;7795380042797;;;;;;;;;;;;;;
1012500085;7795380042803;;;;;;;;;;;;;;;
1012500087;7798129417030;7795380000773;;;;;;;;;;;;;;
1012500117;7795380001657;;;;;;;;;;;;;;;
1042600403;7798129415043;7795380001473;7795380004092;7798129417009;;;;;;;;;;;;
1042600404;7798129415050;7795380004108;;;;;;;;;;;;;;
3011456749;7795380001473;;;;;;;;;;;;;;;
3011431860;7795380002104;7798129416798;;;;;;;;;;;;;;
3011431824;7795380042742;7795380042735;;;;;;;;;;;;;;
1012500026;7795380003736;;;;;;;;;;;;;;;
1012500039;7798129417078;7795380004436;;;;;;;;;;;;;;
1012500066;7798129415852;7795380042780;;;;;;;;;;;;;;
1090300018;7798129417719;;;;;;;;;;;;;;;
1042600405;7798129416781;7795380004139;;;;;;;;;;;;;;
1012500051;7798129417085;7795380010437;;;;;;;;;;;;;;
1065100008;7798118063125;;;;;;;;;;;;;;;
1042600206;7798129415494;7795380000247;7795380004085;;;;;;;;;;;;;
1042602702;7798129415463;7795380004061;;;;;;;;;;;;;;
1042602703;7798129415456;7795380004054;;;;;;;;;;;;;;
3011431831;7795380000230;7798129415500;;;;;;;;;;;;;;
1071000025;7795373022584;7798138890510;;;;;;;;;;;;;;
1051800226;7795326020377;;;;;;;;;;;;;;;
3011460466;7798123975604;;;;;;;;;;;;;;;
3011458705;7798040890950;;;;;;;;;;;;;;;
3011462088;7790139003357;;;;;;;;;;;;;;;
