codigo_producto;cod_interno;codigo_barras
1057400015;20929;7,79809E+12
1057400017;20930;7,79809E+12
1057400018;20931;7,79809E+12
1057400019;20932;7,79809E+12
1057400020;20933;7,79809E+12
1057400021;20934;7,79809E+12
1057400022;20935;7,79809E+12
1057400023;20936;7,79809E+12
1057400024;20937;7,79809E+12
1057400025;20938;7,79809E+12
1057400026;20939;7,79809E+12
1057400027;20940;7,79809E+12
1057400028;20941;7,79809E+12
1057400029;20942;7,79809E+12
1057400030;20943;7,79809E+12
1057400031;20944;7,79809E+12
1057400032;20945;7,79809E+12
1057400033;20946;7,79809E+12
1057400034;20947;7,79809E+12
1057400035;20948;7,79809E+12
1057400036;20949;7,79809E+12
1057400037;20950;7,79809E+12
1057400038;20951;7,79809E+12
1057400039;20952;7,79809E+12
1057400040;20953;7,79809E+12
1057400041;20954;7,79809E+12
1057400042;20955;7,79809E+12
1057400043;20956;7,79809E+12
1057400044;20957;7,79809E+12
1057400045;20958;7,79809E+12
1057400046;20959;7,79809E+12
1057400047;20960;7,79809E+12
1057400048;20961;7,79809E+12
1057400049;20962;7,79809E+12
1057400101;20963;7,79809E+12
1057400201;20964;7,79809E+12
1057700004;20965;7,7981E+12
1057700007;20966;7,7981E+12
1057700008;20967;7,7981E+12
1057700009;20968;7,7981E+12
1057700010;20969;7,7981E+12
1057700011;20970;7,7981E+12
1057700012;20971;7,7981E+12
1057700013;20972;7,7981E+12
1057700015;20973;7,7981E+12
1057700016;20974;7,7981E+12
1057700019;20975;91037002259
1057700020;20976;8,37654E+11
1057700021;20977;7,79817E+12
1057700022;20978;8,16465E+11
1057700023;20979;7,79817E+12
1057700202;20980;7,7981E+12
1057700301;20981;7,7981E+12
1057900000;20982;7,79535E+12
1057900001;20983;7,79535E+12
1057900002;20984;7,79535E+12
1057900003;20985;7,79535E+12
1057900008;20986;7,79535E+12
1057900009;20987;7,79535E+12
1057900010;20988;7,79535E+12
1057900011;20989;7,79223E+12
1057900012;20990;7,79223E+12
1057900014;20991;7,79535E+12
1057900017;20992;7,79535E+12
1058100001;20993;7,79809E+12
1058100002;20994;7,79809E+12
1058100003;20995;7,79809E+12
1058100004;20996;7,79809E+12
1058100006;20997;7,79809E+12
1058100007;20998;7,79809E+12
1058100008;20999;7,79809E+12
1058100010;21000;7,79809E+12
1058100011;21001;7,79809E+12
1058100012;21002;7,79809E+12
1058100013;21003;7,79809E+12
1058100014;21004;7,79809E+12
1058100015;21005;7,79809E+12
1058100016;21006;7,79809E+12
1058100017;21007;7,79809E+12
1058100018;21008;7,79809E+12
1058100019;21009;7,79809E+12
1058100020;21010;7,79809E+12
1058100021;21011;7,79809E+12
1058100022;21012;7,79809E+12
1058100023;21013;7,79809E+12
1058200003;21014;7,7981E+12
1058200006;21015;7,7981E+12
1058200007;21016;7,7981E+12
1058200012;21017;7,7981E+12
1058200013;21018;7,7981E+12
1058200014;21019;7,7981E+12
1058200015;21020;7,7981E+12
1058200016;21021;7,7981E+12
1058200017;21022;7,7981E+12
1058200018;21023;7,7981E+12
1058200020;21024;7,7981E+12
1058200021;21025;7,7981E+12
1058200022;21026;7,7981E+12
1058200023;21027;7,7981E+12
1058200024;21028;7,7981E+12
1058200025;21029;7,7981E+12
1058200026;21030;7,7981E+12
1058200027;21031;7,7981E+12
1058200028;21032;7,7981E+12
1058200029;21033;7,7981E+12
1058200030;21034;7,7981E+12
1058202902;21035;7,7981E+12
1058202903;21036;7,7981E+12
1058208901;21037;7,7981E+12
1058400021;21038;7,7981E+12
1058400022;21039;7,7981E+12
1058400024;21040;7,7981E+12
1058400028;21041;7,7981E+12
1058400029;21042;7,7981E+12
1058400030;21043;7,7981E+12
1058400034;21044;7,7981E+12
1058400035;21045;7,7981E+12
1058400036;21046;7,7981E+12
1058400037;21047;7,7981E+12
1058400040;21048;7,7981E+12
1058400041;21049;7,7981E+12
1058400042;21050;7,7981E+12
1058400060;21051;7,7981E+12
1058500001;21052;7,7981E+12
1058500002;21053;7,79357E+12
1058500011;21054;7,79357E+12
1058500012;21055;7,79357E+12
1058500024;21056;7,7981E+12
1058500025;21057;7,7981E+12
1058500028;21058;7,79357E+12
1058500029;21059;7,79357E+12
1058500030;21060;7,79357E+12
1058500031;21061;7,7981E+12
1058500032;21062;7,79357E+12
1058500033;21063;7,7981E+12
1058500039;21064;7,79357E+12
1058500040;21065;7,79357E+12
1058500041;21066;7,79357E+12
1058500042;21067;7,7981E+12
1058500043;21068;7,79357E+12
1058500045;21069;7,79357E+12
1058500046;21070;7,79357E+12
1058500047;21071;7,79357E+12
1058500048;21072;7,7981E+12
1058500051;21073;7,79357E+12
1058500061;21074;7,79357E+12
1058500063;21075;7,7981E+12
1058500065;21076;7,7981E+12
1058500070;21077;7,79357E+12
1058600016;21078;7,79464E+12
1058600033;21079;7,79464E+12
1058600034;21080;7,79464E+12
1058600035;21081;7,79464E+12
1058600036;21082;7,79464E+12
1059300000;21083;7,79802E+12
1059300001;21084;7,79802E+12
1059300003;21085;7,79802E+12
1059300004;21086;7,79802E+12
1059300009;21087;7,79802E+12
1059300010;21088;7,79802E+12
1059300011;21089;7,79802E+12
1059300013;21090;7,79802E+12
1059300014;21091;7,79802E+12
1059300016;21092;7,79802E+12
1059300020;21093;7,79802E+12
1059300022;21094;7,79802E+12
1059300024;21095;7,79802E+12
1059300025;21096;7,79802E+12
1059300026;21097;7,79802E+12
1059500000;21098;7,79816E+12
1059700001;21099;7,79811E+12
1059700002;21100;7,79811E+12
1059700003;21101;7,79811E+12
1059700004;21102;7,79811E+12
1059700005;21103;7,79811E+12
1059700006;21104;7,79811E+12
1059700008;21105;7,79811E+12
1059700009;21106;7,79811E+12
1059700010;21107;7,79811E+12
1059700011;21108;7,79811E+12
1059700014;21109;7,79811E+12
1059700015;21110;7,79811E+12
1059700020;21111;7,79811E+12
1059700021;21112;7,79811E+12
1059700022;21113;7,79811E+12
1059700023;21114;7,79811E+12
1059700031;21115;7,79811E+12
1059700032;21116;7,79811E+12
1059700033;21117;7,79811E+12
1059700034;21118;7,79811E+12
1059700035;21119;7,79811E+12
1059700036;21120;7,79811E+12
1059700037;21121;7,79811E+12
1059700039;21122;7,79811E+12
1059700040;21123;7,79811E+12
1059700041;21124;7,79811E+12
1059700042;21125;7,79811E+12
1059700043;21126;7,79811E+12
1059700044;21127;7,79811E+12
1059700045;21128;7,79811E+12
1059700046;21129;7,79811E+12
